The coordinates of the D orbit type may be given as
(1, 0, sqrt(5)/2 + 3/2)
(-1, 0, sqrt(5)/2 + 3/2)
(1/2 + sqrt(5)/2, 1/2 + sqrt(5)/2, 1/2 + sqrt(5)/2)
(-sqrt(5)/2 - 1/2, 1/2 + sqrt(5)/2, 1/2 + sqrt(5)/2)
(1/2 + sqrt(5)/2, -sqrt(5)/2 - 1/2, 1/2 + sqrt(5)/2)
(-sqrt(5)/2 - 1/2, -sqrt(5)/2 - 1/2, 1/2 + sqrt(5)/2)
(0, sqrt(5)/2 + 3/2, 1)
(sqrt(5)/2 + 3/2, 1, 0)
(0, -3/2 - sqrt(5)/2, 1)
(-3/2 - sqrt(5)/2, 1, 0)
(sqrt(5)/2 + 3/2, -1, 0)
(-3/2 - sqrt(5)/2, -1, 0)
(0, sqrt(5)/2 + 3/2, -1)
(1/2 + sqrt(5)/2, 1/2 + sqrt(5)/2, -sqrt(5)/2 - 1/2)
(0, -3/2 - sqrt(5)/2, -1)
(-sqrt(5)/2 - 1/2, 1/2 + sqrt(5)/2, -sqrt(5)/2 - 1/2)
(1/2 + sqrt(5)/2, -sqrt(5)/2 - 1/2, -sqrt(5)/2 - 1/2)
(-sqrt(5)/2 - 1/2, -sqrt(5)/2 - 1/2, -sqrt(5)/2 - 1/2)
(1, 0, -3/2 - sqrt(5)/2)
(-1, 0, -3/2 - sqrt(5)/2)
