The coordinates of the ID orbit type may be given as
(0, 0, 1 + sqrt(5))
(1/2 + sqrt(5)/2, 1, sqrt(5)/2 + 3/2)
(-sqrt(5)/2 - 1/2, 1, sqrt(5)/2 + 3/2)
(1/2 + sqrt(5)/2, -1, sqrt(5)/2 + 3/2)
(-sqrt(5)/2 - 1/2, -1, sqrt(5)/2 + 3/2)
(1, sqrt(5)/2 + 3/2, 1/2 + sqrt(5)/2)
(sqrt(5)/2 + 3/2, 1/2 + sqrt(5)/2, 1)
(-1, sqrt(5)/2 + 3/2, 1/2 + sqrt(5)/2)
(1, -3/2 - sqrt(5)/2, 1/2 + sqrt(5)/2)
(-3/2 - sqrt(5)/2, 1/2 + sqrt(5)/2, 1)
(sqrt(5)/2 + 3/2, -sqrt(5)/2 - 1/2, 1)
(-1, -3/2 - sqrt(5)/2, 1/2 + sqrt(5)/2)
(-3/2 - sqrt(5)/2, -sqrt(5)/2 - 1/2, 1)
(0, 1 + sqrt(5), 0)
(1 + sqrt(5), 0, 0)
(sqrt(5)/2 + 3/2, 1/2 + sqrt(5)/2, -1)
(0, -sqrt(5) - 1, 0)
(-sqrt(5) - 1, 0, 0)
(-3/2 - sqrt(5)/2, 1/2 + sqrt(5)/2, -1)
(sqrt(5)/2 + 3/2, -sqrt(5)/2 - 1/2, -1)
(1, sqrt(5)/2 + 3/2, -sqrt(5)/2 - 1/2)
(-3/2 - sqrt(5)/2, -sqrt(5)/2 - 1/2, -1)
(-1, sqrt(5)/2 + 3/2, -sqrt(5)/2 - 1/2)
(1, -3/2 - sqrt(5)/2, -sqrt(5)/2 - 1/2)
(1/2 + sqrt(5)/2, 1, -3/2 - sqrt(5)/2)
(-1, -3/2 - sqrt(5)/2, -sqrt(5)/2 - 1/2)
(-sqrt(5)/2 - 1/2, 1, -3/2 - sqrt(5)/2)
(1/2 + sqrt(5)/2, -1, -3/2 - sqrt(5)/2)
(-sqrt(5)/2 - 1/2, -1, -3/2 - sqrt(5)/2)
(0, 0, -sqrt(5) - 1)
