Orbit | Approx. Location (a) | Minimal Polynomial (a)                                                                                         | Approx. Location (b) | Minimal Polynomial (b)
------+----------------------+----------------------------------------------------------------------------------------------------------------+----------------------+------------------------------------------------------------------------------------------------------------------
gD-1  | 0.011083720094805054 | 5a^10 + 55a^9 + 151a^8 + 24a^7 - 474a^6 - 651a^5 - 136a^4 + 176a^3 - 22a^2 - 90a + 1                           | 0.11212795108699851  | 5b^10 + 40b^9 + 81b^8 - 26b^7 - 133b^6 - 52b^5 + 41b^4 + 50b^3 + 20b^2 + 6b - 1
gD-2  | 0.023809830286187498 | 11a^12 - 13a^11 - 310a^10 - 894a^9 - 947a^8 - 47a^7 + 578a^6 + 117a^5 - 380a^4 - 202a^3 + 47a^2 + 41a - 1      | 0.24392803043992953  | 11b^12 + 59b^11 + 211b^10 + 543b^9 + 1053b^8 + 1497b^7 + 1518b^6 + 1008b^5 + 339b^4 - 40b^3 - 75b^2 - 10b + 5
gD-3  | 0.04741988306983819  | a^4 - 3a^3 + 2a^2 + 21a - 1                                                                                    | 0.6180339887498949   | b^2 + b - 1
gD-4  | 0.05118010640774383  | 9a^12 - 81a^10 - 234a^9 - 312a^8 - 180a^7 + 79a^6 + 210a^5 + 144a^4 + 52a^3 + 27a^2 + 18a - 1                  | 2.6387867137441936   | 9b^12 + 72b^11 + 180b^10 + 24b^9 - 936b^8 - 2844b^7 - 4792b^6 - 5208b^5 - 3744b^4 - 1616b^3 - 288b^2 + 48b + 16
gD-5  | 0.05127594286765159  | 5a^10 + 40a^9 + 124a^8 + 211a^7 + 277a^6 + 320a^5 + 239a^4 + 100a^3 + 43a^2 + 17a - 1                          | 2.634790491510639    | 5b^10 + 10b^9 - 54b^8 - 166b^7 + 7b^6 + 556b^5 + 896b^4 + 660b^3 + 240b^2 + 30b - 5
gD-6  | 0.11465912066963303  | 9a^8 + 27a^7 + 33a^6 + 15a^5 - a^4 + 15a^3 + 22a^2 + 6a - 1                                                    | 1.2281071445762097   | 9b^8 + 36b^7 + 39b^6 - 24b^5 - 76b^4 - 55b^3 - 5b^2 + 10b + 5
gD-7  | 0.11846632569634691  | a^10 + 8a^9 + 33a^8 + 38a^7 + 27a^6 - 14a^5 - 56a^4 - 48a^3 - 31a^2 - 4a + 1                                   | 0.07675775265147915  | b^10 + 3b^9 + 16b^8 + 52b^7 + 117b^6 + 192b^5 + 210b^4 + 159b^3 + 65b^2 + 7b - 1
gD-8  | 0.1627424176545203   | 4a^4 - 4a^3 - 17a^2 + 9a - 1                                                                                   | 1.618033988749895    | b^2 - b - 1
gD-9  | 0.29764703511426677  | 16a^12 + 48a^11 + 60a^10 + 116a^9 + 193a^8 + 50a^7 - 83a^6 + 20a^5 - 85a^4 - 237a^3 - 100a^2 + 16a + 11        | 1.419422898850845    | 4b^12 - 4b^11 - 17b^10 + 21b^9 + 11b^8 - 23b^7 + 15b^6 + 5b^5 - 27b^4 + 15b^3 - 3b^2 - 2b + 4
