Orbit | Approx. Location (a) | Minimal Polynomial (a)                                        | Approx. Location (b) | Minimal Polynomial (b)
------+----------------------+---------------------------------------------------------------+----------------------+----------------------------------------------------------------
sD-1  | 0.11016974327929395  | a^8 + 7a^7 + 12a^6 + 13a^5 - 39a^4 - 89a^3 - 84a^2 - 35a + 5  | 1.277032804438277    | b^8 + 5b^7 + 16b^6 + 41b^5 + 59b^4 + 3b^3 - 116b^2 - 135b - 45
sD-2  | 0.1588820743727429   | a^8 - 5a^7 - 7a^6 + 22a^5 - a^4 - 32a^3 - 22a^2 - 2a + 1      | 0.09085618795516472  | b^8 - 9b^7 - 61b^6 - 81b^5 - 14b^4 + 47b^3 + 29b^2 + 8b - 1
sD-3  | 0.1899626484931051   | a^8 - 3a^7 - 13a^6 - 5a^5 + 11a^4 - 7a^2 - 4a + 1             | 0.17390637642568602  | b^8 + 16b^7 + 30b^6 + 24b^5 - 44b^4 + 10b^3 + 21b^2 + 2b - 1
sD-4  | 0.35261409753226214  | a^4 + 4a^3 - 2a^2 + 3a - 1                                    | 1.4001064915625863   | b^4 - 5b^3 + 3b^2 - 5b + 11
sD-5  | 0.3704373680660033   | a^6 + 5a^5 + 8a^4 + 2a^3 - 4a^2 - 2a + 1                      | 0.8214130953420922   | b^6 + 3b^5 + 5b^4 + 2b^3 - 2b^2 - 3b - 1
sD-6  | 0.37581043477225157  | a^6 + 20a^5 + 9a^4 - 6a^3 - a^2 + 3a - 1                      | 0.19445203003240394  | b^6 - 2b^5 - 12b^4 - 19b^3 - 12b^2 - 2b + 1
sD-7  | 0.39720495195286776  | 5a^8 - 10a^7 - 9a^6 + 27a^5 + 16a^4 - 9a^3 + 6a^2 - 1         | 1.1749068377237775   | 5b^8 - 5b^7 - 6b^6 + 12b^5 - 4b^4 - 12b^3 + 9b^2 + 5b - 5
sD-8  | 0.3998083018155214   | 5a^6 - 5a^5 - a^4 + 4a^3 - 3a + 1                             | 0.5279835113086693   | 5b^6 + 10b^5 + 9b^4 + 4b^3 - b^2 - b - 1
sD-9  | 0.4316834165905793   | a^4 + 2a^3 + 2a^2 + a - 1                                     | 0.6180339887498949   | b^2 + b - 1
